,x,y
7,14.236,-0.42192
9,15.517,-0.4523
11,8.5621,-1.5438
14,13.156,-0.55674
16,16.515,0.81528
18,17.5,0.92827
22,12.45,-0.38301
24,17.557,-1.1967
27,15.395,-0.83722
31,12.283,-0.92529
32,19.957,1.1677
33,18.981,0.19405
35,14.267,-3.2461
38,14.105,0.5318
40,11.698,-0.44331
48,15.18,0.47226
49,12.042,-2.5121
51,17.693,-1.2093
55,12.228,-2.3315
56,12.884,-3.5678
57,11.156,-2.9469
59,13.681,-0.78601
63,19.632,1.9267
65,14.117,0.046896
76,15.405,0.2339
78,23.34,2.3307
80,17.242,-0.44833
83,18.054,0.061518
84,16.604,-0.082546
87,16.586,-2.2349
93,16.723,-1.076
98,17.552,3.8041
100,11.322,-1.2783
102,15.572,-1.7099
103,15.26,-3.2214
105,17.034,1.5736
106,22.558,1.3401
110,16.432,1.1063
117,16.854,1.3006
118,12.254,-1.1265
120,16.063,-1.4354
122,15.692,-0.75984
126,18.972,0.48658
134,20.281,2.18
141,15.734,-0.79586
143,14.775,-0.36572
146,15.374,2.1071
150,13.087,-1.642
159,14.77,1.6634
160,16.549,0.13299
161,14.882,-1.1972
165,12.995,-0.82473
169,18.694,-0.57715
170,14.201,-1.1049
181,17.787,2.5966
186,12.605,-0.0077433
188,14.202,-2.5572
194,17.344,1.1726
197,18.585,1.5113
199,11.097,-2.6011
202,14.096,-1.4359
205,19.524,-0.091463
206,21.151,2.3114
209,18.647,1.3525
210,15.046,-1.6613
218,19.002,0.67655
222,15.821,1.1096
228,11.268,-1.6388
233,19.573,1.2737
235,13.827,-2.2975
236,18.377,3.2664
242,14.048,-1.1374
243,17.146,0.54205
246,14.965,-0.60346
247,22.452,1.4391
255,18.224,0.052489
259,15.804,-0.29048
261,13.666,-0.73811
270,21.564,0.59648
271,17.669,0.023816
272,15.555,1.4723
273,17.278,0.61458
276,11.662,-3.3052
278,13.63,-0.29817
279,16.19,0.39625
282,19.351,1.0002
286,12.819,-0.70058
287,17.865,1.2171
289,21.729,1.0555
298,12.412,-2.5016
300,15.062,-2.3949
302,22.008,1.8113
314,16.8,1.5883
315,12.861,-1.0329
318,12.593,-1.8168
323,15.647,0.089636
324,15.402,-1.2299
332,18.709,2.0384
334,12.011,-1.9221
336,16.262,-2.3311
337,15.309,-0.38079
339,16.748,-0.53745
340,18.517,0.44469
344,13.634,-1.2226
351,14.946,1.4018
352,14.801,-1.2443
353,14.459,-0.98422
355,13.375,-1.0351
361,17.487,2.215
367,14.042,0.87071
370,11.775,-1.2218
383,18.284,1.2933
388,16.503,0.28978
392,21.507,2.3256
394,17.113,1.3644
395,16.463,0.98061
396,14.604,0.03019
398,15.18,-0.4553
399,11.761,-0.59551
400,15.687,-0.66863
404,13.484,1.2957
406,11.974,-1.1226
409,15.567,-0.3214
414,14.057,-0.10523
421,16.906,0.83387
422,13.33,0.47222
426,16.491,-0.42257
429,17.015,-0.92202
436,13.956,0.18404
440,14.53,0.86122
441,14.94,-1.6365
445,16.46,0.92277
449,16.445,1.7508
453,20.82,2.7764
456,17.107,-0.85782
461,16.003,-1.5765
464,10.647,-3.7077
465,14.117,-1.4602
467,15.483,-0.81667
468,19.591,0.79801
469,15.021,-1.5862
471,17.398,0.76479
473,15.843,0.42235
475,19.263,2.9931
479,11.326,-2.7153
481,19.597,2.4702
485,20.569,2.2605
492,15.335,0.53455
494,20.139,3.693
496,18.836,0.46112
