,x,y
463,4.7041,-12.265
404,5.3261,-11.252
92,5.4193,-12.114
100,8.5873,-13.971
441,9.5592,-15.181
428,6.0436,-9.4339
376,6.6501,-11.306
370,5.2658,-14.814
317,7.8333,-14.459
423,6.4669,-13.259
383,3.3961,-8.6336
126,3.4943,-8.5513
227,6.1875,-12.797
432,7.0371,-15.285
242,6.2967,-9.0523
196,6.1327,-11.814
436,5.6477,-9.1176
125,8.9935,-13.601
355,9.1484,-16.105
78,9.4362,-13.952
18,5.5283,-11.067
482,7.325,-12.792
344,7.3343,-12.435
23,6.3151,-14.971
108,3.548,-12.098
31,1.0558,-8.518
453,9.7989,-13.2
132,9.3493,-13.789
398,7.7635,-12.093
446,5.7617,-13.485
157,7.4478,-12.346
14,2.074,-6.74
399,4.1118,-8.1694
158,4.3783,-9.0109
334,5.7484,-10.519
96,6.8345,-12.862
431,2.8756,-10.398
480,7.7532,-13.652
186,3.9207,-8.1471
382,6.1017,-10.609
106,0.95775,-11.746
208,4.9241,-14.929
419,6.9167,-12.69
95,5.6568,-14.237
294,5.1318,-11.0
43,4.6104,-8.2296
109,6.4166,-11.271
230,8.3043,-13.082
308,5.9382,-14.623
352,6.2749,-12.661
93,4.2469,-10.012
12,5.0164,-12.518
393,6.7967,-15.014
247,8.3265,-17.17
415,8.3741,-15.54
320,5.6379,-15.621
9,7.3226,-9.7038
437,8.0499,-15.021
15,7.2804,-13.901
288,8.2844,-14.411
238,9.1162,-12.178
239,6.342,-14.318
292,6.4649,-10.545
181,5.6208,-11.027
47,7.1703,-13.532
29,5.0749,-13.182
205,7.7446,-14.091
70,5.7825,-13.132
143,6.4043,-10.671
30,5.5251,-14.344
455,7.3343,-12.605
202,6.7145,-11.54
232,3.5471,-11.749
89,5.8157,-12.359
314,3.9749,-7.6151
32,8.6771,-11.313
58,6.2735,-8.8688
193,4.1807,-9.3781
347,7.4857,-9.4999
270,5.8715,-12.464
283,6.8709,-12.8
465,3.9744,-8.4135
61,1.98,-8.9271
114,8.0681,-13.214
280,7.9346,-15.406
304,7.3103,-12.523
83,4.6046,-13.656
337,5.5309,-12.337
187,3.9872,-7.2906
460,7.3225,-12.067
495,6.2212,-10.099
497,5.8921,-13.615
323,6.4071,-10.712
397,5.0017,-13.814
53,8.8046,-12.11
469,5.2949,-8.6241
452,6.6925,-13.885
166,6.4924,-11.711
351,2.7084,-9.359
422,6.422,-11.873
489,4.3311,-12.744
167,2.7597,-7.0165
366,6.3962,-10.285
149,4.6037,-12.774
435,5.3203,-11.686
226,4.5885,-11.793
168,6.6414,-13.522
331,7.3236,-9.7817
378,4.36,-10.254
356,5.8128,-11.998
368,4.5846,-14.989
491,6.6033,-11.796
233,1.9946,-9.996
131,3.9911,-12.939
11,6.5165,-14.768
21,8.7802,-11.823
64,7.7921,-11.954
201,3.8631,-12.311
25,6.0412,-12.549
27,6.5796,-14.806
215,8.4039,-12.812
301,1.8135,-8.2845
175,6.4626,-11.809
200,7.606,-14.212
290,6.3318,-12.702
400,5.9002,-14.079
164,4.5514,-13.249
443,3.8936,-9.9537
271,5.8367,-13.877
498,3.9162,-13.166
295,5.794,-13.038
433,6.8563,-15.66
487,4.0407,-9.5961
235,5.648,-13.49
90,3.8638,-11.627
153,5.7358,-12.102
248,5.4017,-12.052
198,4.8509,-12.21
266,5.1584,-14.359
188,7.6342,-11.917
485,4.7638,-12.685
